Target No.,!TITLE!_JAPANESE,,,,,,,,,,,,V,!INDEX!
,,,,,,,,,,,,,,
,单位(厘米),BASE,USER,S,M,L,LL,*,*,*,*,*,埵抲愝掕,%A0002
,WG<-->Shape,0,0,0,0,0,0,0,0,0,0,0,-,%A0056
,连衣裙长,105,105,104,105,106,107,,,,,,T_Y/101/117/B_L/4595/4596,%T9001
T001,身长,56,56,54,56,58,60,,,,,,Y/101/117,%A0251
,后中心长,,,,,,,,,,,,X/4000/4001/Y/3900/3901,%A0389
,腋下长,,,,,,,,,,,,Y/116/107,%A0390
T002,@45 胸宽,42,42,39,42,45,48.5,,,,,,BX/107/117,%A0097
T003,肩宽,32,32,30.5,32,33.5,35,,,,,,BX/102/117,%A0324
T010,肩斜,,,,,,,,,,,,Y/102/101,%A0323
,打褶宽,,,,,,,,,,,,L/4003/4005/L/4033/4035,%A0391
T069,由肩点到前上胸宽向下直量,,,,,,,,,,,,Y/101/103,%A0252
T026,前上胸宽,31,31,29.5,31,32.5,34,,,,,,BX/103/117,%A0278
T006,后上胸宽,32,32,30.5,32,33.5,35,,,,,,BX/3/21,%A0241
T005,后领外宽,16,16,15.5,16,16.5,17,,,,,,BX/595/117,%A0244
,-,,,,,,,,,,,,-,%A0414
,前领深(领内围到领头),16,16,15.5,16,16.5,17,,,,,,Y/580/101,%A0281
T007,前领深(领外围到领头),,,,,,,,,,,,Y/590/101,%A0282
T009,后领深,2,2,1.5,2,2.5,3,,,,,,Y/501/1,%A0243
T011,夹圈直量度,19.5,19.5,18.5,19.5,20.5,21.5,,,,,,L/102/107,%A0331
T023,后中到夹圈下围,,,,,,,,,,,,Y/101/107,%A0340
T028,腰宽位置(肩点下量),37.5,37.5,36.5,37.5,38.5,39.5,,,,,,Y/101/110,%A0347
T022,@24 腰宽,39,39,36,39,42,45.5,,,,,,BX/110/117,%A0071
T013,@31 下摆长,5,5,5,5,5,6,,,,,,Y/115/116,%A0074
T012,@24 罗纹宽,42,42,39,42,45,48.5,,,,,,BX/116/117,%A0070
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,袖子总长,,,,,,,,,,,,T_L/202/294/C_L/6898/6662,%T9002
T063,袖长,,,,,,,,,,,,SY/202/294,%A0328
,后中到袖口总长,,,,,,,,,,,,T_L/2497/2401/X/2401/2431/C_L/6898/6662,%T9003
T014,后中到袖口长,,,,,,,,,,,,L/2497/2401/X/2401/2431,%A0300
T016,@46 袖宽,,,,,,,,,,,,SX/229/201,%A0098
T019,@32 袖口长,,,,,,,,,,,,SY/292/293,%A0075
T017,@47 袖口宽,,,,,,,,,,,,SX/294/292,%A0099
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T050,领片高,1.2,1.2,1.2,1.2,1.2,1.5,,,,,,Y/1004/1003,%A0111
,@9# 领片高,1.2,1.20,1.2,1.2,1.2,1.5,,,,,,Y/1051/1050,%A0120
T042,前领底宽保持直线部分长,,,,,,,,,,,,BX/521/520,%A0334
,后领底宽保持直线部分长,,,,,,,,,,,,BX/501/502,%A0333
,侧颈点＿领宽,,2,,,,,,,,,,L/126/595,%A0330
,接SP领位置,,0.20,,,,,,,,,,-,%A0026
T043,调整V领线,,0.7,0.7,0.7,0.7,0.7,,,,,,L/582/584,%A0343
,调整后V领线,,,,,,,,,,,,L/803/804,%A0342
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,领口垂直尺寸,,,,,,,,,,,,L/125/126,%A0386
,,,,,,,,,,,,,,
T020,腋下平收宽度(前片),1.2,1.2,1.2,1.2,1.2,1.7,,,,,,L/107/106,%A0250
T021,腋下平收宽度(后片),0.7,0.7,0.7,0.7,0.7,1.2,,,,,,L/7/6,%A0249
,袖拢罗纹宽,0,1,1,1,1,1.3,,,,,,X/103/3643,%A0131
,@9# 袖拢罗纹宽,,,,,,,,,,,,X/103/3643,%A0130
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T032,曲线部分/夹圈深比率,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,Y/102/107/Y/107/105,%A0264
T033,曲线部分/(后)夹圈深比率,,,,,,,,,,,,-,%A0265
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,AH偺悺朄偑棃傞偲偟偨傜,,,,,,,,,,,,,
,偙偙偐側丠,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,0.14,,,,,,,,,,,
,,,0.13,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
